type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	0	0	0.1	0.1	0.1	0.0995004	0.00998334	0	0	0	0	0	0	0
R	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
L	1.55945	-0.138501	0.1	0.1	0.1	0.0995004	0.00998334	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
R	1.58975	0.341845	2.35922	0.0969576	0.1	2.34814	0.228386	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	3.14749
L	3.8162	-0.135171	2.67688	-0.237936	-0.0112951	2.60146	-0.630934	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	5.82151
R	3.89649	0.0726059	2.71614	-0.0412663	0.0268461	2.71383	-0.112053	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.77822
L	6.74703	0.408598	3.13841	0.00871409	0.275489	3.13829	0.0273481	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	11.4477
R	6.68756	0.435457	3.13882	0.0605635	0.289342	3.13307	0.189982	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.14215
L	8.97681	0.567161	3.44144	0.634515	0.173154	2.7716	2.04004	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	5.58795
R	8.9627	0.649475	3.42564	0.742964	0.301806	2.52287	2.31736	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.1981
L	11.6427	1.77439	3.05548	0.397076	-0.11506	2.81775	1.18162	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	4.62505
R	11.5729	1.71056	2.95096	0.438183	-0.0538879	2.67216	1.25208	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.58804
L	13.8285	2.42659	2.62636	0.286888	-0.125234	2.51902	0.743177	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	9.24991
R	13.8013	2.3815	2.59659	0.275457	-0.132487	2.4987	0.706239	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.36076
L	16.521	2.88202	2.70335	0.106217	-0.149454	2.68811	0.286601	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.89013
R	16.4923	2.8793	2.69173	0.108288	-0.148627	2.67597	0.290913	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.601279
L	19.0476	3.64813	2.65912	0.250592	0.014004	2.57606	0.659403	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	2.09898
R	19.0812	3.67022	2.66721	0.262395	0.023465	2.57591	0.691859	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.52347
L	21.4166	4.71919	2.61051	0.447205	0.116227	2.35379	1.12891	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	1.27516
R	21.4583	4.7153	2.64197	0.432075	0.100863	2.39917	1.10634	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.06354
