type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	24.0101	5.57989	2.67444	0.351896	-0.00382329	2.51055	0.921819	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	1.11433
R	24.1098	5.59718	2.74171	0.332385	-0.022388	2.59165	0.894616	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	5.36897
L	26.5793	6.91142	2.77618	0.503875	0.0871132	2.43115	1.3404	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.04115
R	26.5941	6.90171	2.79615	0.484656	0.0661545	2.47414	1.30274	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.911531
L	29.3991	8.02993	2.91679	0.37782	-0.0391364	2.71107	1.07599	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	4.48867
R	29.4201	8.03732	2.93288	0.374007	-0.0432489	2.73013	1.07152	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.314676
L	31.9178	9.80565	2.97364	0.645621	0.137252	2.37512	1.78922	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	2.58652
R	31.8956	9.79313	2.96202	0.643164	0.134883	2.37021	1.77641	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.492855
L	34.6326	10.8208	2.89774	0.380984	-0.091254	2.68997	1.07748	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	5.05521
R	34.698	10.8312	2.92983	0.365111	-0.10335	2.73671	1.0461	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.10995
L	37.2216	12.0811	2.89134	0.42537	-0.0110491	2.63368	1.19313	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.22828
R	37.2683	12.0944	2.92302	0.420741	-0.0153891	2.66809	1.19387	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.27883
L	40.1421	13.3858	3.0534	0.414403	-0.0116282	2.79495	1.22943	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	4.22644
R	40.1184	13.3841	3.03879	0.419023	-0.00797545	2.77589	1.23639	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.330543
L	42.7716	14.8124	3.04058	0.502076	0.0445322	2.66533	1.46327	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.200028
R	42.7631	14.8085	3.04234	0.498267	0.039422	2.67243	1.45395	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.367879
L	45.3243	16.5158	3.07352	0.619562	0.0861495	2.50225	1.78473	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.392626
R	45.37	16.5221	3.09946	0.607624	0.0748517	2.54467	1.76954	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	1.03684
L	48.2292	17.4298	2.99172	0.30871	-0.138702	2.85029	0.908973	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	5.8927
R	48.1896	17.4159	2.9611	0.311971	-0.137333	2.81817	0.908866	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	1.0409
L	50.6967	19.012	2.93826	0.548796	0.0789661	2.50678	1.53277	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.86261
R	50.6763	19.0005	2.92843	0.545249	0.0754509	2.5038	1.51877	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.387929
L	53.6196	19.9164	2.9863	0.278818	-0.125036	2.87097	0.821886	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	3.59225
R	53.5977	19.9024	2.96094	0.274776	-0.130124	2.84986	0.803396	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.689102
L	56.1563	21.0733	2.89168	0.384525	0.00300668	2.68052	1.08472	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.81788
R	56.112	21.0564	2.85899	0.383099	0.00206039	2.65175	1.06868	55.867	20.985	55.9669	20.9874	2.56561	0.978022	1.22424
L	58.7286	21.8306	2.81112	0.279784	-0.0577137	2.70181	0.776286	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.904661
R	58.7196	21.8291	2.80842	0.281071	-0.056521	2.69821	0.779012	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.094687
L	61.064	22.8098	2.68592	0.370004	0.0228321	2.50416	0.971281	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	4.25676
R	61.0263	22.7929	2.6669	0.366637	0.0202378	2.48966	0.956025	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	1.12844
L	63.4592	23.4623	2.60967	0.271259	-0.0443747	2.51424	0.699246	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	1.18177
R	63.4969	23.4747	2.6237	0.268625	-0.0474629	2.52961	0.696346	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	1.44372
L	66.2128	23.9771	2.70518	0.149238	-0.0856473	2.67511	0.40222	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.80137
R	66.1606	23.9402	2.65718	0.125826	-0.108797	2.63617	0.333461	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.48513
L	68.4713	24.3584	2.52204	0.119656	-0.0586279	2.504	0.301057	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	4.75173
R	68.5046	24.3769	2.54055	0.128347	-0.0519641	2.51965	0.325177	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0.755202
L	70.8886	24.8684	2.49773	0.183305	0.00712192	2.45588	0.455286	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.640683
R	70.8528	24.8483	2.46768	0.169474	-0.00555359	2.43233	0.416208	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.983848
L	73.0764	24.7884	2.3492	-0.0336627	-0.116106	2.34787	-0.0790654	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	4.72896
R	73.0813	24.786	2.34699	-0.0405168	-0.123745	2.34507	-0.0950668	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.154971
L	75.1725	25.1846	2.22749	0.117991	0.0243834	2.212	0.262215	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	5.24081
R	75.1405	25.1671	2.20618	0.103888	0.0129042	2.19428	0.228783	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.585198
L	77.2166	24.986	2.15219	-0.0859465	-0.0970147	2.14425	-0.184746	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.93587
R	77.2041	24.9612	2.12886	-0.12086	-0.131535	2.11333	-0.256668	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	1.27006
L	79.1898	24.9801	2.0661	-0.0582968	-0.0314243	2.06259	-0.120379	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.72721
R	79.1769	24.9691	2.05334	-0.0741919	-0.046385	2.04769	-0.152201	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.303295
L	80.971	24.8506	1.94411	-0.0968472	-0.0364073	1.935	-0.187988	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	2.85095
R	80.9742	24.8422	1.93232	-0.119251	-0.060635	1.91859	-0.229884	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.23739
L	82.7219	24.6229	1.86449	-0.159515	-0.0525237	1.84081	-0.296154	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	1.09672
R	82.6907	24.5998	1.84186	-0.190042	-0.0786996	1.8087	-0.347929	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.710589
L	84.3076	24.4898	1.74081	-0.127448	-0.00962146	1.72669	-0.221261	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	2.65701
R	84.2951	24.4814	1.73233	-0.138695	-0.0187464	1.7157	-0.239497	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.103487
L	85.7682	23.8514	1.66337	-0.399055	-0.144595	1.53267	-0.646297	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	2.78827
R	85.7882	23.8588	1.6715	-0.394504	-0.143352	1.54311	-0.642443	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.295256
L	87.1011	23.4291	1.54509	-0.415536	-0.0920141	1.4136	-0.623723	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	3.92395
R	87.161	23.4544	1.56281	-0.394606	-0.0852419	1.44271	-0.600814	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	2.70623
L	88.717	22.8137	1.63241	-0.423876	-0.0533555	1.48794	-0.671403	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.29317
R	88.6764	22.7918	1.6165	-0.456983	-0.0759797	1.45063	-0.713268	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.701243
L	89.7382	22.2014	1.43702	-0.553767	-0.0963947	1.22225	-0.75572	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	7.4726
R	89.7402	22.197	1.43397	-0.571339	-0.114813	1.20623	-0.775433	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.394722
L	90.673	21.5623	1.30028	-0.669623	-0.11558	1.01949	-0.807071	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	3.99997
R	90.7271	21.5916	1.31738	-0.614126	-0.0769886	1.07667	-0.759134	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.08378
L	91.762	21.0379	1.25297	-0.559101	-0.0149778	1.06218	-0.664608	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	1.13659
R	91.8133	21.059	1.26504	-0.527878	-0.00117469	1.09284	-0.637203	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.47765
L	92.9174	20.8385	1.17439	-0.266497	0.12346	1.13293	-0.309279	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	2.73025
R	92.9647	20.8591	1.18046	-0.246244	0.126626	1.14485	-0.287752	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.17896
L	93.7135	20.2646	1.04968	-0.491462	-0.0416967	0.925448	-0.495362	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	7.86205
R	93.7254	20.2714	1.05589	-0.480346	-0.0349092	0.936399	-0.487911	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.0796134
L	95.0437	19.737	1.24731	-0.37976	0.038453	1.15844	-0.462375	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.00729
R	94.9552	19.6949	1.20567	-0.473981	-0.0200254	1.07275	-0.550306	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	3.25402
L	95.7421	19.5442	1.00845	-0.323397	0.049484	0.956176	-0.320476	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	8.97753
R	95.7205	19.5353	0.998087	-0.342588	0.0378304	0.940087	-0.335283	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.198179
L	96.4148	19.1507	0.907464	-0.435843	-0.0214732	0.822629	-0.383108	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	2.51306
R	96.4266	19.1546	0.912489	-0.428193	-0.017608	0.830108	-0.378891	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.0840549
L	97.4058	18.758	0.994654	-0.389893	0.0102658	0.920004	-0.378058	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.70292
R	97.4097	18.7588	0.997144	-0.385371	0.0133383	0.924013	-0.374829	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0484047
L	98.2477	18.372	0.975182	-0.415945	-0.00609765	0.892033	-0.394026	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.158622
R	98.2601	18.3741	0.978033	-0.414789	-0.00810208	0.895097	-0.394144	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.193397
L	99.0272	17.4796	1.03204	-0.864145	-0.197432	0.670095	-0.78491	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	3.38894
R	99.0431	17.5158	1.04031	-0.774725	-0.131414	0.743419	-0.727716	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.57472
L	99.9285	16.9544	1.05213	-0.655308	-0.0183763	0.834194	-0.641174	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.18971
R	100.007	16.9814	1.07269	-0.583307	0.019182	0.895317	-0.590824	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.4408
L	101.1	16.5387	1.12158	-0.368207	0.10736	1.04641	-0.403706	101.204	16.5368	101.065	16.497	0.991362	-0.513687	1.46724
R	101.101	16.5385	1.11877	-0.374331	0.101097	1.0413	-0.409079	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.088946
L	102.299	16.3783	1.15827	-0.0770393	0.188006	1.15484	-0.0891443	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	1.19295
R	102.251	16.3633	1.13227	-0.11047	0.169816	1.12537	-0.124828	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.09216
L	103.141	15.5027	1.07187	-0.629267	-0.13453	0.866563	-0.630852	103.003	15.353	103.119	15.4967	1.11708	-0.508169	8.64848
R	103.103	15.5182	1.06448	-0.587674	-0.0974171	0.885898	-0.590178	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.53254
L	104.081	15.2001	1.05862	-0.405642	0.0273143	0.972709	-0.417739	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.42243
R	104.072	15.2011	1.06547	-0.386821	0.0459905	0.986743	-0.401944	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.3954
L	105.311	14.5553	1.24242	-0.457335	-0.00512481	1.11474	-0.5486	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	7.08381
R	105.313	14.5615	1.24723	-0.437426	0.0113857	1.12979	-0.528336	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.280671
L	106.668	14.0851	1.35272	-0.317452	0.0641554	1.28513	-0.422247	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	3.02175
R	106.654	14.0854	1.35463	-0.307727	0.0764914	1.291	-0.410308	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.767849
L	108.015	13.6812	1.40255	-0.244674	0.0702563	1.36078	-0.339753	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.541542
R	108.042	13.6933	1.42203	-0.218252	0.0896979	1.3883	-0.307903	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.470133
L	109.487	13.5603	1.44869	-0.0450479	0.128999	1.44722	-0.0652384	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.32421
R	109.47	13.5555	1.44354	-0.0493052	0.127849	1.44179	-0.0711453	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.240832
L	110.985	12.7087	1.50458	-0.502716	-0.151093	1.31843	-0.724917	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	6.25604
R	111.058	12.7566	1.55574	-0.430558	-0.0963701	1.41375	-0.649332	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	3.43413
L	112.758	12.4621	1.6382	-0.188815	0.0765487	1.60908	-0.307481	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	3.95039
R	112.782	12.4714	1.65619	-0.167915	0.0925823	1.63289	-0.276794	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.456152
L	114.636	12.5321	1.75042	0.106932	0.179275	1.74042	0.18682	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	3.2292
R	114.671	12.5382	1.76961	0.114375	0.182667	1.75804	0.201957	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.667896
L	116.592	12.1776	1.82906	-0.136255	-0.037098	1.81211	-0.248449	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	3.94335
R	116.639	12.1979	1.87128	-0.111536	-0.0158592	1.85965	-0.208282	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.74607
L	118.743	12.0089	2.0073	-0.0915441	0.0086372	1.9989	-0.1835	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	4.56371
R	118.77	12.0189	2.02776	-0.0791085	0.0185982	2.02142	-0.160246	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.457569
L	120.728	12.2509	2.00057	0.132648	0.117822	1.98299	0.264594	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.839177
R	120.762	12.2534	2.02468	0.134119	0.118043	2.0065	0.270736	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.629161
L	123.194	12.7622	2.26482	0.27329	0.116366	2.18077	0.611277	123.568	12.8297	122.95	12.5114	2.29835	0.246599	14.7988
R	123.194	12.7587	2.26893	0.26894	0.112456	2.18737	0.602878	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.118196
L	125.128	12.8924	2.09902	0.145711	-0.00214219	2.07678	0.304769	124.894	12.7743	125.242	12.8125	2.37624	0.369827	7.93749
R	125.186	12.8978	2.15082	0.139039	-0.0079244	2.13007	0.298086	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.82855
L	127.603	13.2846	2.31419	0.157251	0.00807456	2.28564	0.362413	127.853	13.3273	127.609	13.2365	2.44434	0.495787	6.61802
R	127.603	13.2832	2.32687	0.153379	0.00374911	2.29955	0.355495	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.727634
L	129.909	13.6865	2.3524	0.176642	0.0139822	2.31579	0.413375	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.169883
R	129.964	13.6905	2.38158	0.17359	0.0118283	2.34579	0.411345	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.8412
L	132.144	14.4796	2.35214	0.364258	0.10898	2.19781	0.837964	132.092	14.507	132.53	14.458	2.55028	0.74543	0.90198
R	132.199	14.4677	2.39291	0.340222	0.0861137	2.25575	0.798504	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.81677
L	134.833	15.0118	2.54046	0.200604	-0.0460141	2.48952	0.506215	135.074	15.0475	135.066	15.2513	2.58865	0.863795	6.88389
R	134.868	15.0109	2.5586	0.1933	-0.0512877	2.51095	0.491504	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.64973
L	137.424	16.1317	2.664	0.438631	0.113285	2.41181	1.1314	137.561	16.2147	137.639	16.1592	2.61821	0.974442	4.14847
R	137.479	16.1142	2.70548	0.406229	0.0810988	2.4853	1.06907	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.9095
L	140.194	16.987	2.78915	0.320515	-0.0184024	2.64711	0.878736	140.331	17.008	140.242	17.1733	2.63994	1.07503	2.49299
R	140.225	16.9846	2.80909	0.30916	-0.0287453	2.67591	0.854691	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.494166
L	142.864	17.9698	2.83131	0.351243	0.0114061	2.65845	0.974156	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.20925
R	142.843	17.9663	2.82614	0.348405	0.00661172	2.65634	0.964842	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.551962
L	145.395	19.1428	2.83091	0.446214	0.0585867	2.55373	1.22169	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.204033
R	145.462	19.135	2.86952	0.422532	0.0367605	2.61716	1.17671	145.789	19.3785	145.51	19.4754	2.66445	1.23795	2.1002
L	148.149	20.4293	2.94207	0.46538	0.0374837	2.62919	1.32029	148.251	20.4754	148.163	20.7364	2.66951	1.29702	1.29735
R	148.156	20.4306	2.94456	0.465638	0.0383755	2.63107	1.32209	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0617018
L	150.656	22.0736	2.97881	0.615793	0.101845	2.43165	1.72058	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.535356
R	150.677	22.0536	2.99529	0.581633	0.0642398	2.50276	1.64558	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.995809
L	153.357	23.4883	3.02387	0.498051	-0.0244979	2.65651	1.44454	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.913507
R	153.357	23.4887	3.02255	0.500037	-0.021849	2.65249	1.44919	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.032821
L	156.039	24.8133	3.02304	0.442188	-0.0429455	2.73227	1.29361	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0360741
R	156.023	24.8199	3.0059	0.459683	-0.0233878	2.69387	1.33361	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.590279
L	158.839	26.0138	3.04719	0.378191	-0.0576849	2.83186	1.12515	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.545643
R	158.867	26.0137	3.06128	0.371516	-0.0626491	2.85244	1.11133	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.403346
L	161.488	27.4154	3.0222	0.480378	0.0366163	2.68015	1.3966	161.412	27.4256	161.493	27.4891	2.65371	1.33344	1.21524
R	161.491	27.4236	3.01798	0.490996	0.0490419	2.66145	1.42299	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.351969
L	163.808	28.8529	2.88917	0.585466	0.0814085	2.40799	1.59652	163.625	28.7683	164.155	28.8064	2.64354	1.28825	4.20818
R	163.869	28.8475	2.91929	0.562937	0.0611597	2.46882	1.55794	164.116	29.315	164.155	28.8064	2.64354	1.28825	1.59234
L	166.677	30.1641	3.00656	0.427572	-0.0583997	2.73589	1.24671	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.32895
R	166.667	30.1654	2.9977	0.434909	-0.0503576	2.71864	1.26301	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.143641
L	169.202	31.4049	2.9303	0.436049	-0.0210796	2.65611	1.23765	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.28664
R	169.201	31.4055	2.92796	0.438309	-0.0183203	2.65118	1.24265	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0384935
L	172.08	32.3317	2.9832	0.277044	-0.102078	2.86944	0.815946	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.35652
R	172.086	32.3319	2.97788	0.278714	-0.0991697	2.86297	0.819275	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.37922
L	174.73	33.4454	2.92998	0.368512	0.00781792	2.73328	1.05546	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.52968
R	174.696	33.4488	2.90172	0.381418	0.0208861	2.6932	1.08013	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.823259
L	177.193	34.2794	2.78652	0.331158	-0.0169053	2.63512	0.906005	177.03	34.2009	177.261	34.3262	2.52363	0.850119	3.45849
R	177.17	34.2803	2.76508	0.340074	-0.00782157	2.60672	0.922312	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.583092
L	179.991	35.1039	2.86494	0.267438	-0.0451924	2.76309	0.757092	180.145	35.1423	179.799	35.1289	2.47883	0.732949	2.67391
R	179.925	35.0977	2.81622	0.279068	-0.0348842	2.70726	0.775755	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.51589
L	182.609	35.7601	2.80888	0.221981	-0.0475375	2.73996	0.61841	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.023837
R	182.535	35.7488	2.75585	0.227929	-0.0427871	2.68457	0.622711	182.047	36.2626	182.292	35.8114	2.42515	0.611338	3.09763
L	184.911	36.53	2.64242	0.299491	0.0206115	2.5248	0.779604	184.732	36.5155	184.73	36.37	2.36226	0.487877	3.55903
R	184.869	36.531	2.60165	0.311696	0.0330094	2.47629	0.797855	184.833	36.1451	184.73	36.37	2.36226	0.487877	1.88381
L	187.13	37.0244	2.4738	0.233159	-0.0268911	2.40686	0.571576	186.946	36.9404	187.103	36.804	2.29017	0.365145	4.43612
R	187.145	37.0261	2.47804	0.231905	-0.0276144	2.41171	0.569534	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.24024
L	189.504	37.4256	2.45051	0.150218	-0.0580657	2.42291	0.366727	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.246689
R	189.509	37.4229	2.44122	0.147076	-0.0607241	2.41487	0.357752	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.714294
L	191.811	37.5835	2.39186	0.0365081	-0.0894802	2.39026	0.0873027	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.672391
R	191.773	37.5677	2.36128	0.0257302	-0.0998356	2.3605	0.0607495	191.682	37.1147	191.615	37.3064	2.12037	0.131591	1.0036
L	193.743	37.3028	2.19019	-0.179552	-0.166146	2.15498	-0.391144	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	7.80788
R	193.72	37.2936	2.17744	-0.18699	-0.172581	2.13948	-0.404791	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.276612
L	195.948	37.3313	2.18192	-0.0410325	0.00282841	2.18008	-0.0895045	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.45957
R	195.878	37.3032	2.13825	-0.0742907	-0.0244728	2.13235	-0.158706	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.50817
L	197.846	37.6605	2.04052	0.161991	0.114442	2.01381	0.329104	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	3.19259
