type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	6.92605	-3.88139	-2.75919	2.28401	0.997411	1.80525	-2.08667	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	2.00051
R	6.99774	-4.00745	-2.74251	2.30848	0.9615	1.84455	-2.02954	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.55822
L	7.05648	-4.16522	-2.75822	2.31564	0.914964	1.86967	-2.02784	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.6215
R	7.1159	-4.28332	-2.70836	2.32133	0.858972	1.84718	-1.98069	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	11.1522
L	7.17459	-4.42988	-2.71417	2.32659	0.817692	1.86157	-1.97517	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	1.92035
R	7.2512	-4.54724	-2.69364	2.34604	0.788225	1.88525	-1.92393	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	2.42341
L	7.30262	-4.70352	-2.70021	2.33704	0.736632	1.87243	-1.94555	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	2.92338
R	7.40696	-4.82938	-2.72725	2.37255	0.735052	1.95973	-1.89666	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.6398
L	7.46071	-4.98804	-2.73287	2.35794	0.68086	1.9358	-1.92906	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	3.12026
R	7.5417	-5.10605	-2.71808	2.37217	0.656142	1.95243	-1.89103	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.84618
L	7.59472	-5.26998	-2.72459	2.35053	0.598989	1.91562	-1.93747	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.327
R	7.68703	-5.38955	-2.72107	2.36742	0.581721	1.94557	-1.90236	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.966176
L	7.75374	-5.53778	-2.72456	2.35659	0.53948	1.92732	-1.92578	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.74849
R	7.83621	-5.65191	-2.7075	2.3665	0.518342	1.93412	-1.89466	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.69637
L	7.88892	-5.80996	-2.70837	2.34064	0.465013	1.88509	-1.94466	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.7154
R	7.9982	-5.92529	-2.75461	2.36938	0.476716	1.97332	-1.92194	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.29235
L	8.05499	-6.07488	-2.76172	2.34495	0.428873	1.93074	-1.97467	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	2.28388
R	8.15187	-6.19421	-2.75707	2.35569	0.414654	1.94856	-1.95052	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.15246
L	8.22894	-6.33898	-2.76156	2.34381	0.380379	1.92839	-1.97675	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	1.09405
R	8.31562	-6.45343	-2.74742	2.34962	0.364388	1.92991	-1.95545	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.18187
L	8.37495	-6.61186	-2.74991	2.32028	0.31599	1.8734	-2.01305	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	2.04311
R	8.46621	-6.72861	-2.74669	2.32786	0.306465	1.8864	-1.99644	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.505981
L	8.53597	-6.87248	-2.74729	2.31023	0.272891	1.85131	-2.02984	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.9678
R	8.61259	-6.97853	-2.73693	2.31196	0.260394	1.84783	-2.01898	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.760386
L	8.66173	-7.12485	-2.73916	2.28064	0.217317	1.78515	-2.07756	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.66055
R	8.76676	-7.24063	-2.77559	2.29944	0.230714	1.84815	-2.07082	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.27025
L	8.81966	-7.39317	-2.78281	2.26681	0.187825	1.78423	-2.13554	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.7782
R	8.89189	-7.51685	-2.75412	2.25453	0.160434	1.73975	-2.13505	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.40492
