type	px	py	v	yaw_angle	yaw_rate	vx	vy	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
L	6.90915	-7.02399	-2.74717	-2.60505	-0.471736	2.36114	1.40426	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.4256
R	7.04001	-6.94605	-2.74813	-2.6285	-0.467797	2.39425	1.34898	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0426362
L	7.16928	-6.85215	-2.75656	-2.64273	-0.456678	2.42062	1.31881	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.556404
R	7.26553	-6.73424	-2.7363	-2.59894	-0.354475	2.34321	1.41305	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	9.04677
L	7.38876	-6.64019	-2.74031	-2.60793	-0.344794	2.35927	1.39396	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.40414
R	7.53302	-6.60016	-2.75546	-2.67101	-0.413985	2.45595	1.24934	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.42173
L	7.65582	-6.52568	-2.76143	-2.68485	-0.407399	2.47837	1.21785	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.204635
R	7.77674	-6.4408	-2.75317	-2.68192	-0.371819	2.46739	1.22146	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.24876
L	7.90494	-6.37159	-2.7485	-2.6987	-0.368951	2.48331	1.17789	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.153586
R	8.03056	-6.29391	-2.74147	-2.69802	-0.33798	2.47617	1.17655	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.903081
L	8.16267	-6.21441	-2.74518	-2.70708	-0.329155	2.49009	1.15562	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.291179
R	8.25551	-6.11418	-2.72633	-2.66381	-0.242295	2.42103	1.25359	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	7.07798
L	8.371	-6.03218	-2.73054	-2.66396	-0.231275	2.42496	1.25517	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.463385
R	8.51802	-5.97865	-2.7403	-2.70169	-0.269627	2.4794	1.16696	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.64106
L	8.65486	-5.90548	-2.74477	-2.71115	-0.264521	2.4944	1.14532	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0996313
R	8.76063	-5.7993	-2.72517	-2.66409	-0.174647	2.42035	1.25239	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.86413
L	8.88826	-5.71345	-2.72821	-2.66286	-0.164682	2.42151	1.25676	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.337141
R	8.98688	-5.61795	-2.71528	-2.62438	-0.0960498	2.36012	1.34261	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.53271
L	9.09754	-5.53175	-2.71769	-2.61705	-0.085026	2.3523	1.36107	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.448885
R	9.23677	-5.47088	-2.72539	-2.64843	-0.128118	2.40063	1.29023	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.00794
L	9.36486	-5.38557	-2.72873	-2.6465	-0.119934	2.40108	1.29645	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.222531
R	9.46276	-5.27078	-2.71018	-2.5915	-0.0313967	2.31037	1.41678	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	7.45623
L	9.5844	-5.18046	-2.71167	-2.58515	-0.0240671	2.30259	1.43222	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.182892
R	9.68896	-5.07432	-2.70002	-2.5435	0.0399376	2.23132	1.5203	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	4.1364
L	9.80375	-4.97825	-2.70009	-2.53269	0.0477053	2.21482	1.54437	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.229523
R	9.90188	-4.86286	-2.6903	-2.48559	0.112424	2.13189	1.64096	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.75345
L	10.0102	-4.76569	-2.68713	-2.47361	0.117658	2.10959	1.66443	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.17746
R	10.0954	-4.63691	-2.67772	-2.41569	0.1901	2.00266	1.77751	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	4.33097
L	10.1952	-4.52055	-2.68005	-2.39305	0.200946	1.96362	1.82396	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.414371
R	10.2815	-4.39333	-2.67641	-2.34721	0.24867	1.87542	1.90944	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.85086
L	10.379	-4.26326	-2.68617	-2.31994	0.260342	1.82932	1.967	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.564044
R	10.4972	-4.16934	-2.69196	-2.33183	0.222651	1.85656	1.94931	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.2181
L	10.5885	-4.03845	-2.69837	-2.30515	0.235066	1.8082	2.0029	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.599778
R	10.6856	-3.9233	-2.69989	-2.28815	0.240191	1.77489	2.0345	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0651886
L	10.7781	-3.79912	-2.70428	-2.26807	0.246005	1.73649	2.0731	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.148117
R	10.832	-3.64933	-2.6976	-2.19369	0.333384	1.57374	2.19098	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.99176
L	10.9066	-3.51465	-2.69966	-2.16533	0.342095	1.51213	2.23643	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.311602
R	11.0058	-3.41932	-2.70369	-2.1861	0.285009	1.56059	2.20783	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	2.91561
L	11.0744	-3.28072	-2.71681	-2.15704	0.297007	1.50305	2.26316	11.0447	-3.1561	11.05	-3.15	1.9995	2.99925	0.894352
R	11.1204	-3.12575	-2.71589	-2.0886	0.371271	1.34429	2.35986	11.1178	-2.98807	11.1	-3	0.907725	2.72317	4.41194
L	11.1829	-2.97147	-2.72653	-2.0547	0.38226	1.26849	2.41348	11.1427	-2.86566	11.15	-2.85	0.907708	2.72314	0.698873
R	11.2328	-2.82286	-2.72798	-2.00994	0.41423	1.15985	2.46913	11.1491	-2.68183	11.2	-2.7	0.908929	2.72678	0.919259
L	11.2858	-2.6628	-2.74022	-1.97462	0.424179	1.07673	2.51981	11.2525	-2.55311	11.25	-2.55	0.908929	2.72678	0.713091
R	11.234	-2.45837	-2.74152	-1.80687	0.632319	0.641202	2.66548	11.1188	-2.36202	11.2	-2.4	-0.909276	2.72782	32.0451
L	11.2492	-2.30004	-2.74222	-1.76018	0.642639	0.516236	2.69319	11.1594	-2.25598	11.15	-2.25	-0.909276	2.72782	0.536743
R	11.3494	-2.19051	-2.72929	-1.82869	0.488636	0.69609	2.63903	11.2029	-2.09837	11.25	-2.1	1.81915	2.72871	18.5092
L	11.3789	-2.03069	-2.7379	-1.79467	0.493814	0.607834	2.66958	11.3525	-1.95787	11.35	-1.95	1.81913	2.72869	0.321187
R	11.3856	-1.87286	-2.74019	-1.73911	0.533544	0.459048	2.70146	11.3011	-1.79507	11.35	-1.8	0	2.73035	1.22074
L	11.3957	-1.7147	-2.74354	-1.70095	0.540802	0.356063	2.72033	11.3326	-1.67041	11.35	-1.65	0	2.73033	0.319286
R	11.3374	-1.5539	-2.75034	-1.5904	0.658709	0.0539087	2.74981	11.0622	-1.44342	11.3	-1.5	-0.999165	2.99748	10.8112
L	11.3248	-1.40677	-2.7547	-1.54879	0.665554	-0.060621	2.75403	11.2595	-1.35818	11.25	-1.35	-0.999155	2.99745	0.353279
R	11.2763	-1.24535	-2.76167	-1.46367	0.73527	-0.295279	2.74584	11.1658	-1.23674	11.2	-1.25	-0.909822	1.81964	3.78426
L	11.2409	-1.1033	-2.75131	-1.41523	0.743675	-0.426284	2.71809	11.1524	-1.15803	11.15	-1.15	-0.909822	1.81964	0.564734
R	11.12	-0.951782	-2.77315	-1.26846	0.900821	-0.825709	2.64737	10.8534	-0.929069	11.05	-0.95	-1.99817	3.99632	20.1793
L	11.057	-0.807244	-2.78223	-1.2122	0.90889	-0.976446	2.60526	10.9584	-0.728742	10.95	-0.75	-1.99816	3.99632	0.8345
R	11.0062	-0.666613	-2.77666	-1.17396	0.889454	-1.07318	2.56089	10.8608	-0.663121	10.9	-0.649999	-0.908549	1.8171	0.697967
L	10.931	-0.531321	-2.77295	-1.11752	0.896678	-1.21432	2.49293	10.8648	-0.553034	10.85	-0.549999	-0.908532	1.81708	0.257226
R	10.8316	-0.398323	-2.78439	-1.03279	0.948615	-1.42679	2.39105	10.8451	-0.437482	10.75	-0.45	-1.8174	1.81738	2.5337
L	10.7336	-0.281323	-2.77513	-0.969748	0.960033	-1.56936	2.28877	10.6542	-0.347474	10.65	-0.35	-1.8174	1.81738	0.568043
R	10.5688	-0.170424	-2.8105	-0.828425	1.08747	-1.9	2.07096	10.5062	-0.245062	10.5	-0.25	-2.72796	1.81864	16.389
L	10.4408	-0.0756224	-2.80124	-0.753855	1.10262	-2.04226	1.91732	10.3438	-0.150982	10.35	-0.15	-2.72796	1.81864	0.810694
R	10.3461	0.0258755	-2.78594	-0.713612	1.07546	-2.10618	1.82359	10.4884	-0.0812124	10.25	-0.0999996	-1.81964	0.909826	1.30369
L	10.2114	0.0938268	-2.76821	-0.636985	1.09554	-2.22535	1.64646	10.1537	-0.0482457	10.15	-0.0499992	-1.81963	0.909818	1.26782
R	10.0648	0.16745	-2.77713	-0.552168	1.12804	-2.36442	1.4567	9.92588	0.00395802	10	9.49949e-07	-2.73049	0.910169	1.58317
L	9.91427	0.205755	-2.75732	-0.466086	1.15513	-2.46321	1.23912	9.85676	0.0351738	9.85	0.0500011	-2.73047	0.910161	1.77199
R	9.7619	0.255594	-2.76198	-0.384745	1.17721	-2.56007	1.03663	9.63973	0.0585714	9.7	0.0500011	-2.72439	0	1.08702
L	9.59884	0.255623	-2.73878	-0.285268	1.21572	-2.6281	0.770732	9.54669	0.0374948	9.55	0.0500011	-2.72438	0	2.79095
R	9.44292	0.280824	-2.74192	-0.205664	1.2303	-2.68413	0.559947	9.32242	0.112393	9.4	0.100001	-2.72773	0.90923	0.707014
L	9.28217	0.273953	-2.73212	-0.114615	1.25536	-2.71419	0.312457	9.24446	0.153574	9.25	0.15	-2.7277	0.909222	0.902711
R	9.12955	0.27922	-2.73043	-0.0404957	1.26041	-2.72819	0.110541	9.0614	0.20077	9.1	0.2	-2.72652	0.908843	0.145947
L	8.97505	0.274694	-2.73153	0.0337351	1.26489	-2.72998	-0.0921312	8.94752	0.260272	8.95	0.25	-2.72653	0.908843	0.0520944
R	8.84266	0.243444	-2.68135	0.110922	1.27445	-2.66487	-0.296811	8.90199	0.247143	8.85	0.25	-1.81847	0	7.98971
L	8.70555	0.233236	-2.6778	0.171438	1.26592	-2.63855	-0.456831	8.76016	0.263752	8.75	0.25	-1.81846	0	0.209457
R	8.54279	0.244902	-2.73292	0.210279	1.22668	-2.67273	-0.570451	8.46355	0.258809	8.55	0.25	-3.6326	0	10.719
L	8.39298	0.218405	-2.73753	0.271154	1.21873	-2.63751	-0.73323	8.35367	0.252596	8.35	0.25	-3.6326	0	0.142855
R	8.24299	0.18297	-2.74568	0.330921	1.20934	-2.59671	-0.892109	8.05161	0.241868	8.2	0.25	-2.72841	0	0.546575
L	8.09742	0.157507	-2.74913	0.376678	1.18747	-2.5564	-1.01122	8.05411	0.247878	8.05	0.25	-2.72842	0	0.569063
R	7.95242	0.11269	-2.75505	0.4297	1.17317	-2.50459	-1.14775	7.78653	0.205765	7.9	0.2	-2.72708	-0.909025	0.553012
L	7.80823	0.0689654	-2.75885	0.476354	1.15414	-2.45172	-1.26505	7.74339	0.144028	7.75	0.15	-2.72705	-0.909016	0.542018
R	7.66864	0.0279338	-2.7655	0.509315	1.11781	-2.4145	-1.3484	7.77346	0.0969346	7.6	0.100001	-2.73169	-0.910554	1.53974
L	7.52756	-0.0273005	-2.76854	0.553082	1.09936	-2.35578	-1.45435	7.45362	0.0452052	7.45	0.0500011	-2.73169	-0.910554	0.586576
R	7.37683	-0.035277	-2.78935	0.538507	1.01185	-2.39459	-1.43053	7.15329	0.0425189	7.3	0.0500011	-2.99789	0	7.54076
L	7.24576	-0.0790298	-2.78894	0.565749	0.988544	-2.35439	-1.49501	7.16618	0.0287673	7.15	0.0500011	-2.9979	0	0.992497
R	7.13592	-0.179567	-2.77386	0.643753	1.02374	-2.21867	-1.66488	7.17215	-0.0469302	7.05	-0.0499995	-1.81811	-1.81813	2.58295
L	7.00636	-0.247405	-2.76986	0.680022	1.00449	-2.15373	-1.74171	6.95426	-0.147757	6.95	-0.15	-1.8181	-1.81811	0.705691
R	6.89398	-0.345665	-2.76531	0.739864	1.0138	-2.04234	-1.86434	6.83008	-0.250179	6.85	-0.25	-1.81646	-1.81646	0.500617
L	6.77947	-0.430687	-2.75833	0.781666	1.00124	-1.9577	-1.94314	6.76395	-0.345347	6.75	-0.35	-1.81645	-1.81645	0.415974
R	6.6833	-0.541546	-2.7521	0.844672	1.0148	-1.82733	-2.05789	6.74798	-0.457727	6.65	-0.45	-1.81901	-1.819	0.461506
L	6.57865	-0.640286	-2.74721	0.888353	1.00393	-1.73264	-2.13193	6.54569	-0.565853	6.55	-0.549999	-1.81899	-1.81898	0.36184
R	6.52812	-0.809022	-2.74889	1.01165	1.09784	-1.45819	-2.33025	6.565	-0.754748	6.5	-0.749999	-0.909789	-3.63914	6.44287
L	6.45173	-0.939445	-2.74923	1.07195	1.09774	-1.31527	-2.41419	6.4494	-0.940848	6.45	-0.949999	-0.909781	-3.63911	0.0003751
R	6.4003	-1.07623	-2.75377	1.14452	1.12071	-1.13863	-2.50734	6.44213	-1.11266	6.4	-1.1	-1.0002	-3.00061	0.352186
L	6.34777	-1.21111	-2.7593	1.20434	1.1231	-0.988672	-2.5761	6.34405	-1.26138	6.35	-1.25	-1.0002	-3.00061	0.131062
R	6.30089	-1.33763	-2.75631	1.25491	1.11426	-0.856276	-2.61993	6.39474	-1.36501	6.3	-1.35	-1.00035	-2.00072	0.193213
L	6.26003	-1.4643	-2.75315	1.30792	1.11255	-0.715436	-2.65857	6.25356	-1.42931	6.25	-1.45	-1.00036	-2.00072	0.0649433
R	6.26254	-1.62825	-2.77112	1.41655	1.18784	-0.42574	-2.73822	6.24787	-1.61119	6.25	-1.6	0	-2.99288	4.53751
L	6.24375	-1.7643	-2.77051	1.47485	1.18689	-0.265416	-2.75777	6.23547	-1.75335	6.25	-1.75	0	-2.99285	0.00972673
R	6.27791	-1.94224	-2.7915	1.59758	1.26837	0.0747474	-2.7905	6.41111	-1.93027	6.3	-1.9	0.909739	-2.72921	5.62853
L	6.29666	-2.09088	-2.78469	1.67176	1.27408	0.280664	-2.77051	6.34873	-2.05372	6.35	-2.05	0.909735	-2.72921	0.210436
R	6.3066	-2.22883	-2.76367	1.71824	1.23773	0.406019	-2.73368	6.53066	-2.26346	6.35	-2.2	0	-2.72782	2.50024
L	6.33983	-2.37379	-2.75854	1.78947	1.24199	0.59843	-2.69285	6.36917	-2.33894	6.35	-2.35	0	-2.72779	0.106507
R	6.35181	-2.51191	-2.74167	1.82727	1.19887	0.695482	-2.65199	6.27034	-2.51837	6.35	-2.55	0	-3.63689	2.12395
L	6.38504	-2.66515	-2.75084	1.88702	1.19065	0.855446	-2.61445	6.34287	-2.73391	6.35	-2.75	0	-3.63689	0.334799
R	6.44224	-2.81571	-2.76352	1.96024	1.20116	1.04923	-2.55659	6.45883	-2.92313	6.4	-2.9	0.908854	-2.72658	0.511768
L	6.49061	-2.96758	-2.77564	2.01619	1.18841	1.19579	-2.50484	6.43866	-3.06257	6.45	-3.05	0.908859	-2.72658	0.609689
R	6.54542	-3.10662	-2.77082	2.06586	1.1667	1.31639	-2.43814	6.49154	-3.20004	6.5	-3.2	0.908863	-2.72658	0.742133
L	6.60313	-3.25304	-2.78192	2.1155	1.14995	1.44149	-2.37933	6.53579	-3.34211	6.55	-3.35	0.908855	-2.72655	0.669534
R	6.67021	-3.38546	-2.77108	2.16	1.12297	1.53987	-2.30383	6.70146	-3.53446	6.6	-3.5	0.908714	-2.72613	1.62325
L	6.73271	-3.5304	-2.78356	2.20039	1.09919	1.639	-2.24987	6.64657	-3.63945	6.65	-3.65	0.908702	-2.72611	1.0598
R	6.80535	-3.66078	-2.77712	2.24026	1.07296	1.72339	-2.17769	6.70956	-3.81739	6.7	-3.8	0.909565	-2.72871	1.40071
L	6.86551	-3.81081	-2.79277	2.26589	1.03669	1.78864	-2.14483	6.74885	-3.96368	6.75	-3.95	0.909561	-2.72869	2.06667
R	6.934	-3.9357	-2.77249	2.29231	0.998584	1.83129	-2.08161	6.73758	-4.06653	6.8	-4.1	0.908566	-2.72568	3.47242
L	6.99245	-4.08863	-2.78707	2.30585	0.95461	1.86909	-2.06743	6.85796	-4.25464	6.85	-4.25	0.908561	-2.72569	2.60461
R	7.09875	-4.21953	-2.81424	2.35557	0.954068	1.98871	-1.99122	7.10395	-4.49091	6.95	-4.4	1.81821	-2.72732	2.39182
L	7.16577	-4.3739	-2.82893	2.36343	0.906933	2.01477	-1.98583	7.04679	-4.55716	7.05	-4.55	1.81822	-2.72732	2.75049
R	7.24992	-4.49375	-2.8136	2.38786	0.878129	2.05151	-1.92553	7.02393	-4.64459	7.1	-4.7	0.91085	-2.73253	2.41744
L	7.30465	-4.65728	-2.82479	2.37743	0.81775	2.0394	-1.95456	7.13435	-4.85502	7.15	-4.85	0.910837	-2.73251	4.01641
R	7.37761	-4.76476	-2.79762	2.3907	0.78473	2.04528	-1.9088	7.24619	-4.97656	7.2	-4.95	1.00033	-2.00068	4.69676
L	7.42726	-4.90742	-2.80046	2.37953	0.733985	2.0259	-1.93347	7.25317	-5.04605	7.25	-5.05	1.00033	-2.00066	2.92532
R	7.52697	-5.02246	-2.83193	2.41145	0.73425	2.11001	-1.88883	7.22054	-5.09604	7.35	-5.2	1.9976	-2.9964	5.81777
L	7.5826	-5.17175	-2.83816	2.3955	0.680667	2.08419	-1.92648	7.43604	-5.34825	7.45	-5.35	1.9976	-2.9964	3.12085
R	7.65811	-5.27991	-2.78883	2.40321	0.645588	2.06249	-1.87715	7.40989	-5.38617	7.5	-5.45	0.908252	-1.8165	10.2528
L	7.72045	-5.43286	-2.78871	2.38793	0.594787	2.0335	-1.90834	7.55662	-5.56714	7.55	-5.55	0.908244	-1.81648	2.68804
R	7.816	-5.54871	-2.79198	2.40754	0.583608	2.07295	-1.87031	7.39379	-5.52612	7.65	-5.7	1.81785	-2.72677	2.63357
L	7.88632	-5.70071	-2.79456	2.39282	0.536738	2.04709	-1.90236	7.76459	-5.8425	7.75	-5.85	1.81785	-2.72677	2.1187
R	7.96285	-5.80876	-2.74574	2.3952	0.504815	2.01576	-1.86435	7.84699	-6.00602	7.8	-5.95	0.909078	-1.81815	11.0463
L	8.02455	-5.95384	-2.74012	2.37726	0.459931	1.97793	-1.89633	7.85921	-6.04502	7.85	-6.05	0.909073	-1.81815	2.13373
R	8.12706	-6.06899	-2.75031	2.39464	0.453586	2.01807	-1.86859	7.89511	-6.1416	7.95	-6.2	1.8197	-2.72955	1.39198
L	8.18996	-6.22375	-2.75049	2.36967	0.404386	1.97091	-1.91852	8.05619	-6.36041	8.05	-6.35	1.81969	-2.72953	2.24296
R	8.29974	-6.34335	-2.76878	2.38635	0.400344	2.01597	-1.8979	8.2234	-6.53735	8.15	-6.5	1.8187	-2.72807	1.5443
L	8.36569	-6.50104	-2.77152	2.35939	0.352126	1.966	-1.95349	8.25446	-6.64851	8.25	-6.65	1.81869	-2.72804	2.10205
R	8.44201	-6.61191	-2.73084	2.35578	0.325477	1.9302	-1.93179	8.32206	-6.77114	8.3	-6.75	0.908979	-1.81795	7.56976
L	8.49459	-6.76153	-2.72279	2.32589	0.278976	1.86608	-1.98276	8.31728	-6.8399	8.35	-6.85	0.908979	-1.81795	2.25311
R	8.5756	-6.87652	-2.70769	2.32575	0.262752	1.85547	-1.97201	8.2713	-6.91098	8.4	-7	0.909094	-2.72732	1.44448
L	8.61844	-7.03877	-2.70317	2.28451	0.208617	1.76962	-2.04342	8.44183	-7.15372	8.45	-7.15	0.909102	-2.72732	2.72229
R	8.72035	-7.16032	-2.72392	2.29697	0.212995	1.80871	-2.03674	8.54154	-7.25975	8.55	-7.3	1.81751	-2.72628	2.525
L	8.77209	-7.32595	-2.72762	2.2586	0.164421	1.73161	-2.10747	8.65899	-7.4699	8.65	-7.45	1.81752	-2.72628	2.0799
R	8.84001	-7.45074	-2.69834	2.24294	0.134569	1.68015	-2.11143	8.83598	-7.68162	8.7	-7.55	0.908615	-1.81723	5.60425
L	8.89323	-7.59527	-2.69337	2.21679	0.102144	1.62139	-2.15066	8.76769	-7.64094	8.75	-7.65	0.908607	-1.81721	1.07186
R	8.99034	-7.71675	-2.71371	2.22988	0.114331	1.66186	-2.14533	8.77916	-7.72457	8.85	-7.8	1.8215	-2.73224	3.06091
L	9.04626	-7.86812	-2.7155	2.2021	0.0815951	1.60268	-2.19212	8.95669	-7.95155	8.95	-7.95	1.82148	-2.73221	0.933736
R	9.131	-7.98808	-2.73074	2.20605	0.0839144	1.62038	-2.19803	9.1081	-8.22433	9	-8.1	0.999025	-2.99707	1.06791
L	9.16827	-8.13872	-2.73366	2.16864	0.0440003	1.53867	-2.25952	9.05476	-8.24211	9.05	-8.25	0.999015	-2.99704	1.45764
R	9.21216	-8.26968	-2.69327	2.1354	-0.000946109	1.44112	-2.27528	9.13825	-8.4037	9.1	-8.35	0.908285	-1.81657	9.20118
L	9.25498	-8.41772	-2.69012	2.10569	-0.0294638	1.37127	-2.31437	9.14025	-8.44981	9.15	-8.45	0.908268	-1.81655	0.848649
R	9.32622	-8.54748	-2.69112	2.10129	-0.0316239	1.36159	-2.32125	9.22081	-8.59155	9.2	-8.6	0.91012	-2.73036	0.119191
L	9.3613	-8.70337	-2.69176	2.06577	-0.0637916	1.27862	-2.36869	9.25031	-8.76071	9.25	-8.75	0.910112	-2.73033	0.960832
R	9.42646	-8.83725	-2.69319	2.05863	-0.0666862	1.26232	-2.37904	9.30208	-8.90831	9.3	-8.9	0.909524	-2.72856	0.165679
L	9.45586	-8.99455	-2.69423	2.02194	-0.0979499	1.17466	-2.42468	9.34431	-9.04587	9.35	-9.05	0.909524	-2.72856	0.927018
R	9.52247	-9.11798	-2.70651	2.02599	-0.0843177	1.18988	-2.43092	9.39993	-9.18842	9.4	-9.2	0.999066	-2.99725	1.08255
L	9.54153	-9.2736	-2.71433	1.98579	-0.117904	1.09438	-2.48393	9.4452	-9.37195	9.45	-9.35	0.999075	-2.99724	1.16301
R	9.59908	-9.41233	-2.7168	1.97851	-0.117432	1.07724	-2.49411	9.48751	-9.46421	9.5	-9.5	0.909706	-2.7291	0.152892
L	9.62613	-9.57466	-2.72344	1.94453	-0.142992	0.994308	-2.53545	9.55098	-9.64789	9.55	-9.65	0.909706	-2.7291	0.677301
R	9.68169	-9.70265	-2.73182	1.94507	-0.131312	0.99874	-2.54271	9.57122	-9.75525	9.6	-9.8	1.00048	-3.00143	0.623881
L	9.69892	-9.85621	-2.74059	1.91054	-0.157055	0.913288	-2.58394	9.62408	-9.94149	9.65	-9.95	1.00046	-3.00141	0.779865
R	9.72861	-9.98624	-2.73191	1.88917	-0.173961	0.85514	-2.59462	9.61433	-9.96417	9.7	-10.05	0.998785	-1.99755	0.551529
L	9.76271	-10.1233	-2.73497	1.87338	-0.1804	0.814992	-2.61071	9.7457	-10.1502	9.75	-10.15	0.998775	-1.99754	0.0598242
R	9.77122	-10.2706	-2.71403	1.82678	-0.229061	0.687183	-2.62559	9.77731	-10.3295	9.75	-10.3	0	-2.72851	4.52841
L	9.79575	-10.4234	-2.71726	1.80432	-0.238071	0.628785	-2.64351	9.76557	-10.4501	9.75	-10.45	0	-2.72849	0.0987202
R	9.84763	-10.5714	-2.72937	1.80827	-0.215332	0.642085	-2.65277	9.89592	-10.7137	9.8	-10.6	0.909012	-2.72704	1.00373
L	9.87218	-10.7248	-2.73317	1.78845	-0.222471	0.590196	-2.66868	9.85066	-10.7537	9.85	-10.75	0.909012	-2.72703	0.0768361
R	9.88	-10.8604	-2.72401	1.75596	-0.250476	0.501504	-2.67745	9.84397	-10.9287	9.85	-10.9	0	-3.00318	1.2066
L	9.88963	-11.0054	-2.73025	1.73186	-0.26074	0.437841	-2.69491	9.85693	-11.0512	9.85	-11.05	0	-3.00316	0.185064
R	9.90556	-11.1379	-2.72821	1.71697	-0.261773	0.397363	-2.69911	9.74773	-11.0482	9.85	-11.2	0	-3.00013	0.368768
L	9.90115	-11.2893	-2.73782	1.68598	-0.277548	0.314661	-2.71967	9.84407	-11.3565	9.85	-11.35	0	-3.00012	0.454186
R	9.92223	-11.4266	-2.74288	1.68076	-0.264382	0.300997	-2.72631	9.79495	-11.4686	9.85	-11.5	0	-2.99592	0.460097
L	9.90968	-11.5797	-2.75314	1.64787	-0.281652	0.211998	-2.74496	9.83943	-11.6467	9.85	-11.65	0	-2.99592	0.552113
R	9.8382	-11.7271	-2.72078	1.54668	-0.396859	-0.0656096	-2.71999	9.76634	-11.6976	9.8	-11.75	-0.908731	-1.81746	16.6133
L	9.81411	-11.877	-2.71957	1.51271	-0.408167	-0.157874	-2.71499	9.74774	-11.8511	9.75	-11.85	-0.908731	-1.81746	0.280221
R	9.77564	-12.0272	-2.71384	1.45918	-0.450117	-0.302283	-2.69695	9.7856	-12.1262	9.7	-12	-0.909591	-2.72875	1.87509
L	9.73191	-12.1755	-2.71352	1.4182	-0.465006	-0.41248	-2.68198	9.64482	-12.1455	9.65	-12.15	-0.909582	-2.72873	0.474116
R	9.6861	-12.3201	-2.70928	1.37173	-0.491955	-0.53577	-2.65577	9.57233	-12.2948	9.6	-12.3	-0.908879	-2.72667	0.649289
L	9.63084	-12.4679	-2.71197	1.32948	-0.505374	-0.648116	-2.63339	9.55167	-12.4583	9.55	-12.45	-0.908879	-2.72665	0.365458
R	9.50884	-12.5973	-2.69695	1.21175	-0.625872	-0.947659	-2.52497	9.37132	-12.4833	9.45	-12.55	-1.82006	-1.82006	11.767
L	9.43459	-12.7262	-2.69172	1.16455	-0.638113	-1.06367	-2.47265	9.359	-12.6499	9.35	-12.65	-1.82005	-1.82005	0.608806
R	9.2706	-12.8243	-2.68299	1.01142	-0.802302	-1.42374	-2.27406	9.16109	-12.6848	9.2	-12.75	-3.00047	-2.00033	19.8247
L	9.1623	-12.9259	-2.68068	0.948917	-0.822454	-1.56167	-2.17882	9.028	-12.8337	9.05	-12.85	-3.00048	-2.00033	1.43076
R	8.99626	-13.0178	-2.68217	0.815102	-0.941636	-1.83942	-1.95207	8.85918	-12.7953	8.95	-12.9	-1.81543	-0.907707	9.7594
L	8.8828	-13.1032	-2.66978	0.753876	-0.952331	-1.94638	-1.82738	8.84257	-12.9684	8.85	-12.95	-1.81542	-0.907708	1.0117
R	8.74826	-13.1867	-2.67083	0.671922	-0.991522	-2.09026	-1.66257	8.66865	-13.0114	8.7	-13.05	-2.73134	-1.82089	1.28509
L	8.61589	-13.2574	-2.66389	0.604319	-1.0045	-2.19208	-1.51363	8.55319	-13.1445	8.55	-13.15	-2.73135	-1.82089	0.870541
R	8.40163	-13.2662	-2.6862	0.415613	-1.19404	-2.45753	-1.08456	8.27267	-12.996	8.4	-13.15	-2.99683	0	25.7507
L	8.27283	-13.2943	-2.67312	0.345499	-1.20632	-2.51516	-0.905295	8.25965	-13.1488	8.25	-13.15	-2.9968	0	1.09648
